Dataset,Epochs,Tokens,Batch size,Runs,Train Input,Output,Test Input,Cat1 accuracy,Cat1 F1 score macro,Cat2 accuracy,Cat2 F1 score macro,Cat3 accuracy,Cat3 F1 score macro
amazon,60(10),100,45,3,Text,Cat1,Text,0.828(0.002),0.819(0.002),-,-,-,-
amazon,60(53),100,40,3,Text,Cat2,Text,-,-,0.622(0.003),0.393(0.004),-,-
amazon,60(60),100,45,3,"Target Cat1, Text",Cat2,"Target Cat1, Text",-,-,0.706(0.001),0.464(0.004),-,-
amazon,60(60),100,45,3,"Target Cat1, Text",Cat2,"Predicted Cat1, Text",-,-,0.612(0.000),0.400(0.002),-,-
amazon,60(60),100,45,3,"Predicted Cat1, Text",Cat2,"Predicted Cat1, Text",-,-,0.624(0.002),0.398(0.002),-,-
---,---,---,---,---,---,---,---,---,---,---,---,---,---
dbpedia,20(20),100,40,3,Text,Cat1,Text,0.996(0.000),0.994(0.000),-,-,-,-
dbpedia,40(40),100,40,3,Text,Cat2,Text,-,-,0.975(0.000),0.968(0.001),-,-
dbpedia,40(40),100,40,3,"Target Cat1, Text",Cat2,"Target Cat1, Text",-,-,0.979(0.000),0.975(0.001),-,-
dbpedia,40(40),100,40,3,"Target Cat1, Text",Cat2,"Predicted Cat1, Text",-,-,0.976(0.000),0.970(0.001),-,-
dbpedia,40(40),100,40,3,"Predicted Cat1, Text",Cat2,"Predicted Cat1, Text",-,-,0.976(0.000),0.969(0.001),-,-
dbpedia,40(40),100,40,3,Text,Cat3,Text,-,-,-,-,0.951(0.001),0.918(0.007)
dbpedia,40(40),100,40,3,"Target Cat1, Cat2, Text",Cat3,"Target Cat1, Cat2, Text",-,-,-,-,0.975(0.001),0.954(0.003)
dbpedia,40(40),100,40,3,"Target Cat1, Cat2, Text",Cat3,"Predicted Cat1, Cat2, Text",-,-,-,-,0.954(0.001),0.931(0.003)
dbpedia,40(40),100,40,3,"Predicted Cat1, Cat2, Text",Cat3,"Predicted Cat1, Cat2, Text",-,-,-,-,0.953(0.001),0.922(0.005)
